App,review_date,review_description,rating,thumbsUpCount,developer_response,developer_response_date,appVersion
Swiggy,2023-07-14 18:39:06,Instarmart experience was pathetic. I didn't even receive an order 1 hour after ordering and later they cancelled the order without informing me. I was told that due to operational constraints the order can't be delivered. The support agent didn't bother to address the issue. Just wasted 1.5 hrs of time. Better to use other apps who are much much better at providing service or a proper resolution for any issue.,1,23,"We're apologetic about this experience you've faced while ordering with us. Please write to us at swiggysocial@swiggy.in from your registered email address detailing your experience, so we can look into the issue and resolve it for you.",2023-07-14 18:42:22,4.36.2
Swiggy,2023-07-17 18:49:46,Worst support team. They always want to composate with misplaced or wrong order. In words they say that they prioritize the issue but they won't. The location tracking is worst address what we selected will be different always. Don't use this app and don't waste your precious money and time. I am uninstalling this app and never ever install or use it in my life time. They always reply with write an email for swiggy ID and they will look into issue but actual scenario that they won't take care.,1,15,"Hey there, that doesn't sound right. We would like to have this investigated. Please share the relevant order ID to swiggysocial@swiggy.in and we will assist you further in this regard.",2023-07-17 18:52:20,4.36.3
Swiggy,2023-07-19 07:47:42,BAD SERVICE! Most of the deliveries are late than the time given or even canceled. Better switch to other delivery apps. Very bad experiences not just once but many times they will just resolve by refunding but what about time wasted and waiting for the food. DON'T EVER DOWNLOAD even for instamart or other services. Already experiencing the pathetic service.,1,12,"Hi, we are sorry about the sub-par experience you had faced while ordering with us. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",2023-07-19 07:52:25,4.36.3
Swiggy,2023-07-16 18:19:24,"Terrible service. Even though I am a Swiggy one member and paying extra for the membership each month, the service by Swiggy is pathetic. The orders are almost every time delayed for food and the last time I ordered from Instamart, my order got delivered an hour later. Almost every time the order delivery time keeps on getting extended. What is the use of paying extra for the membership when this happens so frequentl. The cost of every dish on swiggy is higher than the same restaurant takeaway.",1,22,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",2023-07-16 18:22:22,4.36.3
Swiggy,2023-07-05 18:12:02,"Recently I ordered via swiggy, it's liquor item. Firstly there were no agent to pick up for an hour, and during this time I wanted to cancel the item but there is no way I could cancel the order. I contacted customer support but there were no available person. After an hour and half they finally delivered the item but an item was missing. When I raised concern they told that I have given OTP so I should have verified before giving OTP. They have choosen to loot customer in every way.",1,224,"Hi, we are sorry about the sub-par experience you had faced while ordering with us. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",2023-07-05 18:12:20,4.35.4
Swiggy,2023-07-19 09:24:07,"It's one of the leading food delivery app in India. The interface and the performance of this app is pretty decent. Everything is fine but one thing that I found wrong about it was the time that shows on the app for food delivery is not accurate, rather I would say slow.",5,6,"Hey there, appreciate you for rating us 5-star and giving us your honest feedback. Do elaborate your concern along with the necessary details by writing an email at swiggysocial@swiggy.in from your registered email ID, we'll look into it.",2023-07-19 09:32:23,4.36.3
Swiggy,2023-07-16 11:44:23,"I had a very very bad experience with Swiggy Wrong delivery experience,if we placed on order delivery partner will take and go for vacation,he will never come back ,but still app shows 2 minutes.if we reach out of the service provider,they will never listen to the issue of problem we are facing, straight away.they will send email not refund is impossible.Do not use again this app. I'm deleted permanently account and uninstall.",1,20,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",2023-07-16 11:52:23,4.36.3
Swiggy,2023-07-08 06:57:08,"Terrible experience! The app shows an edit your location but when you try doing it, it shows an error. That's not it - they charge you a cancellation fee for no fault of yours!! A good way to scam common people..if you care for your money, please do not use this app!",1,33,"Hi there, we're sorry for the unpleasant experience. Please share your concerns via email at swiggysocial@swiggy.in & we'll surely work towards improving the services.",2023-07-08 07:02:21,4.35.4
Swiggy,2023-07-03 13:37:21,I placed an order which was not delivered by the restaurant. I requested for refund as a credit either to my account or the wallet. But I was told that it will be provided only as a coupon that I have to use immediately. Very poor customer service. Updated: Even after writing and speaking to customer service team of Swiggy they have not refunded the amount to my account.,1,47,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",2023-07-03 13:42:20,4.35.4
Swiggy,2023-07-21 16:21:29,"One of the worst food delivery apps when it comes to customer service. I have had a terrible experience both wirh Instamart and Swiggy food itself. In Instamart, the order was partially destroyed because of negligence of the delivery partner and poor packing and handling. With Swiggy, the app is so tedious, it's hard to speak to a human and they are extremely unhelpful even if the fault is on their end. Having lived in multiple countries, this is the worst food delivery app I have ever used",1,7,We're disappointed to know the service has not been to your satisfaction. Kindly write to us at swiggysocial@swiggy.in from your registered email address and we'll have this addressed,2023-07-21 16:22:20,4.36.3
Swiggy,2023-07-19 11:45:56,"Very bad experience with swiggy partner and customer service, I never refer to use any one this application they have always issues with delivering a parcel on doorstep also they are issues with handling a cash and respond arrogantly I got another application. Blink it, I ordered all items from that without any hesitation, and there is a lot of difference in price same items I ordered by swiggy 647rs and And by blink it 544Rs. There is 103rs difference how strange please swiggy weak up",1,13,"Hey there, that doesn't sound right. We would like to have this investigated. Please share the relevant order ID to swiggysocial@swiggy.in and we will assist you further in this regard.",2023-07-19 11:52:20,4.36.3
Swiggy,2023-07-22 05:13:08,"One of the worst customer support. In app customer support is worst, not able to connect with the agents. Tried the email support, but it's worst as well. They kept spamming a single mail to verify details. Not recommended.",1,6,"Hi, we are sorry about this. Please help us with the order id over an email at swiggysocial@swiggy.in, so we can help resolve the issue.",2023-07-22 05:22:20,4.36.3
Swiggy,2023-07-15 15:46:35,Always food items missing. No call options available. Fully fed up with their negligence. No checking of items at the time of picking up delivery. Customers have to starve for more time. Its repeating and no correction from their side.,1,18,That doesn't seem right. Kindly help us with more details of this concern by writing to us at swiggysocial@swiggy.in from your registered email ID and we'll get this checked right away for you.,2023-07-15 15:52:22,4.36.3
Swiggy,2023-07-10 16:49:29,The app has gotten worse in terms of service. It's extremely difficult to get a hold of an agent during any customer issue. Items are routinely missing (which is okay and understandable) but there is no way to get an instant reorder or refund. Godforsaken app that I have a 1 year membership of! Over the years it has managed to become subsequently worse. Beyond trash now.,1,170,"We're apologetic about this experience you've faced while ordering with us. Please write to us at swiggysocial@swiggy.in from your registered email address detailing your experience, so we can look into the issue and resolve it for you.",2023-07-10 16:52:21,4.36.2
Swiggy,2023-07-19 15:21:15,"Don't ever buy the Swiggy One subscription, they keep changing their t&c so you may buy it today for some benefit but if they decide not to offer it they will suddenly stop or start charging for it mid subscription. Also they show longer distance from restaurants to Swiggy One members so they can charge the fee for longer distance.",1,4,"Hi, we are sorry about the below-par experience with your order. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",2023-07-19 15:22:24,4.36.3
Swiggy,2023-07-23 08:49:17,"Poor navigation. You can't select Pure Veg restaurant in real sense. All restaurants name will appear. 2 orders put back to back, I can't see status of 1st one. You need to put multiple combination of words to find suitable dish if you are not sure what to order in the beginning itself.",3,2,"Hey there, we are disappointed to know you feel this way about us. We request you to kindly let us know more about the issue by writing to us at swiggysocial@swiggy.in from your registered email address, so we can look into it and have it fixed at the earliest.",2023-07-23 08:52:20,4.36.3
Swiggy,2023-07-22 02:38:40,"The customer care service has gone down to thw extent that now you cannot imagine anyone coming to your rescue from swiggy team for any issues you might be facing. No credibility. The third party delivery agents are fraud. Someone else's name appears on the app, someone else checks in the society, cries for help to get extra money, promising to return it the next day but never do. I can go on and on about the double standards that swiggy shows everytime.",1,14,This shouldn't have happened. Kindly help us with the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email ID & we will have this checked.,2023-07-22 02:42:21,4.37.1
Swiggy,2023-07-14 11:52:28,"Worst service ever, was using this app since 4-5 yrs because of his simple UI otherwise there is no perks. Whenever you order this app asks for delivery fee and other charges which can be anything and their delivery partner's are also pathetic. This is happening 6th time with me when i ordered the food and delivery partner picked up the order but after that not moving from his location and even not picking up the call and there coustomer support also not able to help. Now i am waiting for my ord",1,17,"Hey, we're sorry for the inconvenience caused. Kindly drop us an email at swiggysocial@swiggy.in from your registered email address regarding the same, and we'll work on fixing the issue asap.",2023-07-14 12:02:21,4.36.2
Swiggy,2023-07-04 11:02:33,"They keep removing items from Instamart that other grocery apps still stock. With the new platform fees and how aggressively they are pushing Dine out, it feels like their core business is failing. I find myself offering from this app way less than I used to. There is little point in having a swiggy one membership when I have to use other apps to get deliveries anyway.",1,45,"Hi, we are sorry about this. Please help us with the order id over an email at swiggysocial@swiggy.in, so we can help resolve the issue.",2023-07-04 11:12:21,4.35.4
Swiggy,2023-07-20 12:58:12,"I had frequent experience of poor quality of services from swiggy, such as receiving expired product, food that was picked up from floor because the delivery agent dropped it etc. But Swiggy never bothered to refund for my losses. The app has no method of processing refunds or helping poor customers who suffered losses. This is the most pathetic services from a highly popular app",1,12,"Hey, we're sorry for the inconvenience caused. Kindly drop us an email at swiggysocial@swiggy.in from your registered email address regarding the same, and we'll work on fixing the issue asap.",2023-07-20 13:02:21,4.37.1
Swiggy,2023-07-24 11:28:34,Worst service ever. So many problems and no support. Got my order more than 1 and half hour late. Lots of excuses. Blaming customers and everything and everyone else instead of solving the problem. I will never be using swiggy service or order from them. No support from customer service. So don't expect anything from swiggy.,1,3,"Hello, we're sorry for the unpleasant experience. Please share your concern along with your order details via email at swiggysocial@swiggy.in so that we will look into this & assist you better.",2023-07-24 11:32:22,4.36.3
Swiggy,2023-07-21 16:36:06,"Hi Team, It's been happening with me from a long time now. So the scene when ever i try to call the delivery partner, there is a blank option comes in the pop up. Where I could only see the contact no. But not able to call them..please fix this bug",2,9,"Hey there, we apologize for the inconvenience caused. We request you to kindly let us know more about the issue by writing to us at swiggysocial@swiggy.in from your registered email address, so we can look into it and have it fixed at the earliest.",2023-07-21 16:42:21,4.37.1
Swiggy,2023-07-19 04:05:06,"I wish I could give ""-5"" stars to this app. If you really need to order from them do COD, naver pay them in advance. Initially I loved the app but recently I got scammed by them & when I raised issue their helpdesk is not at all helping. They have only one way calling system. Only they can call for any queries related order if you failed to receive the call they cancel the product there it self & take entire amount as cancellation charge. And if you order COD there are no cancellation charges 😃",1,6,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",2023-07-19 04:12:20,4.36.3
Swiggy,2023-07-19 21:11:01,Worst experience payment has been made it's not reflected in the swiggy so again I need to pay the amount and there is no option cancel order if we can cancel at instance also there is no option for it and if we cancel the cancellation charge forcely charging on us so customer service is very worst ... zomato is far better compare to swiggy I will encourage to you zomato instead of swiggy,1,4,"We are sorry to let you down. Please write to us at swiggysocial@swiggy.in from your registered email address elaborating further on your ordeal, so we can expiate for the miss.",2023-07-19 21:12:20,4.36.3
Swiggy,2023-07-13 08:34:55,I am editing the response since the app data interpretation is getting worst from worse. Even when it is a clear sky and no rain is there...it will adjust the delivery fee stating that due to rains fee is higher!! More over so if we order from a little far...most of the time the order does not even arrive...and we have to ultimately cancel after 1/2 hrs. Experience these days are just hopeless and dreadful with swiggy!!! And they don't even do anything to fix there issues!!!,1,210,"Hello, we're sorry for the unpleasant experience. Please share your concern along with your order details via email at swiggysocial@swiggy.in so that we will look into this & assist you better.",2023-07-13 08:42:21,4.36.3
Swiggy,2023-07-13 16:16:51,"The app is getting worse day by day. I constantly have missing/wrong items in my instamart order. Today, I ordered food from one restaurant and got completely different items from a different restaurant. I could not connect with customer service, was stuck with a bot and conversation was automatically closed without resolution. Another massive issue - frequent delays in assigning delivery partners.",1,97,"Hi, we are sorry about the below-par experience with your order. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",2023-07-13 16:22:21,4.36.3
Swiggy,2023-07-09 13:15:15,"Swiggy is the best option for food deliveries. Along with that it also offers other services like transporting other things from one place to another eg groceries,medicines. It also helps to see on map where exactly is your order. The only problem it creates sometimes is the location..the location sometimes fluctuates and some places aren't correctly marked on the map",4,79,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2023-07-09 13:22:22,4.36.2
Swiggy,2023-07-13 18:38:52,Swiggy is really not a good app.. the customer service is too bad.. they have all the issues regarding spillage.. package.. whatnot.. but they wouldn't be ready to solve and first of all they wouldn't be ready to hear to what you say.. they are literally busy cutting the conversation and close the chat .. try preferably other delivery apps instead of swiggy .. my honest suggestion,1,32,"Hey there, that doesn't sound right. We would like to have this investigated. Please share the relevant order ID to swiggysocial@swiggy.in and we will assist you further in this regard.",2023-07-13 18:42:21,4.36.3
Swiggy,2023-07-15 14:58:00,"When ever I order on instamart there are always some missing items some time they are very expensive items and there is no proper investigation for this even through emailing them as well, and as instamart is the monopoly in my city I have no other option to go to!!!!!!!!!!!!!!!!!!!¡!!!",1,18,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",2023-07-15 15:02:22,4.36.3
Swiggy,2023-06-16 19:50:16,"Swiggy clearly has to be one of the worst apps ever for me. Always Unreliable at the time of need. They keep saying 'all the delivery partners in your area are busy' almost everytime I need to order. If this is the case at the slightest rush, isn't it obvious that they are understaffed and uninterested in improving their services? Also, the restaurant availability keeps on changing in the blink of an eye! I think it's high time to uninstall this stupid app.",1,579,"Hi there, we are sorry for any hassle you have faced while ordering with us. Please share the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email address and we would be happy to connect with you and resolve the matter.",2023-06-16 19:53:53,4.34.0
Swiggy,2023-07-09 09:47:07,"I placed order and done the online payment. But one more order came as cash on delivery. I was trying to return it but swiggy not accepted they said customer has to pay. Don't know how app took cash on delivery order very strange. There is problem with app , go near by restaurants and have food nd save money, instead of relying on useless apps. Worst experience and won't place order in feature.",1,35,We're disappointed to know the service has not been to your satisfaction. Kindly write to us at swiggysocial@swiggy.in from your registered email address and we'll have this addressed,2023-07-09 09:52:22,4.36.2
Swiggy,2023-07-15 15:37:11,I have 2feedback firstly the food ordered does not arrive on time and secondly ordered items were not fully delivered only some of the items were delivered. When i reached help section there also customer executive says they cannot do anything and my money has gone free without food and they even did not refund the amount of the items which was not delivered. I had even shared the images of the items ordered. Very bad experience with Swiggy. I stopped using swiggy.,1,11,"Hello, we're sorry for the unpleasant experience. Please share your concern along with your order details via email at swiggysocial@swiggy.in so that we will look into this & assist you better.",2023-07-15 15:42:23,4.36.3
Swiggy,2023-07-04 05:21:37,"I have been using swiggy for quite sometime but it suddenly started going blank and showing unexpected errors ,also since last two days it just shows a page whlie wrotten we are trying to resolve the issue you can retry.I updated my app and phone and have a stable data connection yet the problem continues ...do look into this",1,33,"Hey there, we are sorry to have put you through such a situation. We would like to make amends and request you to kindly share the order ID along with the details of your concern at swiggysocial@swiggy.in and we will do what it takes to turn this around!",2023-07-04 05:22:21,4.35.4
Swiggy,2023-07-09 07:51:56,"You'll never receive a proper food. Sometimes it is spoilt, sometimes wrong item, sometimes missing items, sometimes spillage, sometimes delivery executive isn't able to follow map, sometimes late delivery, sometimes no customer support and many other issues. One or another issue with every single order.",2,15,"Hey there, we apologize for the inconvenience caused. We request you to kindly let us know more about the issue by writing to us at swiggysocial@swiggy.in from your registered email address, so we can look into it and have it fixed at the earliest.",2023-07-09 07:52:21,4.35.4
Swiggy,2023-07-16 12:00:07,I won't say swiggy is not good or something like that. I've ordered many times and it was worth it but the problem is I uninstalled the app and when I installed it again it's not opening and verification number through msgs is also not working not even it is verifying through call.... And now I'm unable to open the app again. 🥲 Swiggy please fix this issue 😶,1,10,"Hey, we're sorry for the inconvenience caused. Kindly drop us an email at swiggysocial@swiggy.in from your registered email address regarding the same, and we'll work on fixing the issue asap.",2023-07-16 12:02:23,4.36.3
Swiggy,2023-07-16 15:53:48,Super pathetic experience by Swiggy and rapidly deteriorating customer experience. They are charging more than menu price plus levying taxes plus levying service charges but still not able to deliver food on time. It's been more than an hour and nobody is there to pick order. Some other delivery partner should come up now to end this super pathetic experience Seems like Swiggy system is shutting down....only bot is responding and things are totally out of their control.....,1,8,"Hello, we're sorry for the unpleasant experience. Please share your concern along with your order details via email at swiggysocial@swiggy.in so that we will look into this & assist you better.",2023-07-16 16:02:21,4.36.3
Swiggy,2023-07-03 17:52:30,These 2 stars only for dine out. Swiggy one membership is good but orders are never on time so please don't pay with the order opt for COD. So that you can cancel it later it becomes a mess to chat with them and explain and it's not helpful always. Your money is not worthless it's really hard to earn. Rest your choice.,2,24,"Hey, we're sorry for the inconvenience caused. Kindly drop us an email at swiggysocial@swiggy.in from your registered email address regarding the same, and we'll work on fixing the issue asap.",2023-07-03 18:02:21,4.35.4
Swiggy,2023-07-04 06:40:16,"I am a regular customer of swiggy instamart, and I had bad experience twice. Both the time they deliver expired Product. My point is if you don't have product remove it from website or cancel my order. It's good that I check expiry date whenever I order online or buy from store, what if I wouldn't have checked and something must have happen who would be responsible for that?",1,29,That doesn't seem right. Kindly help us with more details of this concern by writing to us at swiggysocial@swiggy.in from your registered email ID and we'll get this checked right away for you.,2023-07-04 06:42:21,4.35.4
Swiggy,2023-07-11 11:51:14,"The icecream that I have received has melted very badly & was leaking, received 7up instead of nimbooz. I have contacted the customer care immediately to cancel the order. The customer service agent told me to receive the order and that she will help me sort out the issue. After receiving the order she has only refunded me 1/3rd the total amount saying that that's the maximum that they can do as I have used the remaining from coupon that i had(previously received refund for faulty item). Looters",1,10,"Hey, we're sorry for the inconvenience caused. Kindly drop us an email at swiggysocial@swiggy.in from your registered email address regarding the same, and we'll work on fixing the issue asap.",2023-07-11 11:52:22,4.36.2
Swiggy,2023-07-16 17:29:10,Payment was done but the food was not delivered. Although it was showing that the delivery is done. Didn't get any refund or the food. I got absolutely zero assistance from swiggy agent as well. There is no authenticity of this food delivery app. I want to get refund of the amount I hv paid. Or will contact related platforms and places to file this fraud case.,1,1,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",2023-07-16 17:32:21,4.36.3
Swiggy,2023-07-21 03:09:58,"Best of best in this business 👍 Lot of us face problems with after sales service. I think its a major part in any industry.Thats where swiggy stands out. Any problems related to orders are handled very efficiently and corrected within minutes. Go swiggy! July 21st 2023:Poor service *A delivery guy for genie hasn't showed up for an hour, when I try to cancel and book a new one. The cancellation fee is 50.Rs Because, they are not in time. * 2 idli was missing for 43rs, got 8rs as compensation",2,1,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",2023-07-21 03:12:26,4.37.1
Swiggy,2023-07-16 10:18:29,"Swiggy Instamart shows a large discount on some products, and when you order them it asks to complete certain amount for free delivery. So you add other products.. And guess what, the other products gets delivered, but the one which you prime does not gets delivered and refund is initiated for that.",1,25,"Hey there, we are sorry for the unpleasant experience you had. Please share more details about the incident by writing an email at swiggysocial@swiggy.in from your registered email ID. we'll take it up.",2023-07-16 10:22:21,4.37.0
Swiggy,2023-05-17 16:10:43,The delivery time for each order has been ridiculously high. I understand that certain food items do take time to prepare but it is the same case for each and every order even if the restaurant is not more than 1-3 kms away. I would recommend the team to certainly look into this as other other food delivery aggregators are able to deliver much faster.,1,189,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",2023-05-17 16:12:00,4.32.2
Swiggy,2023-07-15 21:29:23,"Call from app does not work. I try to call delivery guys from app but both sims are shown inactive. Bad experience and I think they need to fire their developer. Looks like code written by a fresher. Also, support executive should know that I'm a Swiggy Super user. They can just check by my name. I don't have to or want to send a separate email for my concerns.",1,2,"Hey there, that doesn't sound right. We would like to have this investigated. Please share the relevant order ID to swiggysocial@swiggy.in and we will assist you further in this regard.",2023-07-15 21:32:21,4.36.3
Swiggy,2023-07-23 16:25:07,Don't buy one membership at all they are fooling around when it comes to place an orders. Today we tried placing order from One membership account and it won't allowed us to place an order. then we tried from different non membership account it allowed with higher charges. it simply means they don't respect you membership 😒. All what they need is extra money.,1,0,"Hi, we are sorry about this. Please help us with the order id over an email at swiggysocial@swiggy.in, so we can help resolve the issue.",2023-07-23 16:32:22,4.37.2
Swiggy,2023-07-24 14:24:50,"Swiggy has major glitch in app. Despite choosing right saved location, delivery loc got chosen automatically to some other unknown. The said pin of the location was not chosen by me manually. Finally their customer care exec having zero knowledge on technicalities of an app will keep arguing. And threaten said the money paid is not refundable. People should be wary of the dependability and stability of Swiggy app. Because you may have to pay for food not rec'd for glitches in Swiggy app.",1,0,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",2023-07-24 14:32:23,4.37.1
Swiggy,2023-07-11 18:35:30,"Horrible experience. I wait for an order and after an hour restaurant informs that items aren't available. After cancellation, I again order from some other restaurant and this time delivery boy isn't moving, and says he doesn't have option to inform swiggy that he won't be able to come. I call swiggy, they assign a new delivery person, who doesn't pick up any calls, takes my order from restaurant and goes somewhere else entirely. Literally 4 hours wasted. also no refund if order is actually bad",1,5,"Hey there, we are sorry to have put you through such a situation. We would like to make amends and request you to kindly share the order ID along with the details of your concern at swiggysocial@swiggy.in and we will do what it takes to turn this around!",2023-07-11 18:42:20,4.35.4
Swiggy,2023-07-09 08:29:03,Worst app in the playstore. Full scam app and fraud company for sure. Always missing items in the the delivery and after that no proper resolution/ response is given. The chat also gets closed according to their convenience. Try to avoid this app as much as possible. No proper customer support not at all trustworthy. Everytime you raise an issue they will ask you to put it through mail and close the issue with no proper resolution. If you don't want to lose money don't use it.,1,35,"We're apologetic about this experience you've faced while ordering with us. Please write to us at swiggysocial@swiggy.in from your registered email address detailing your experience, so we can look into the issue and resolve it for you.",2023-07-09 08:32:21,4.36.2
Swiggy,2023-07-08 05:28:35,"As part of this order , 1 item was missing and the same cannot be replicated through your application or customer care team. If you can't replicate the missing order then you must provide the exact amount needed to place the order neither the discounted price when I placed the order in bulk. This is really horrible experience even if I have one membership. It's kind of cheating the customer.",1,100,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",2023-07-08 05:32:20,4.35.4
Swiggy,2023-07-12 07:25:06,"Good Although the app is quite good, Sometimes there are not many offers despite being a Super member, I seldom use for dining out. Instamart feature is good here I get my grocery, fruits and vegetables on time. Cloud restaurants can be avoided because they mostly don't have stuff that you need, Occasional problem when payment does not go through. First week there are not many discounts or coupons because everyone is ordering food home. Hope they do include a review section for restaurant rating",4,27,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2023-07-12 07:32:24,4.36.3
Swiggy,2023-07-05 12:23:58,"Very bad experience !! after replacement again received bad quality product, the coupon issued I can only use for 30 days. It is really sad that the product which I prepaid for ,I can use the amount only for 30 days . MOREOVER These people are also charging service charge on containers. I don't understand what kind of service charge is applicable on containers given by the restaurants.",1,17,That doesn't seem right. Kindly help us with more details of this concern by writing to us at swiggysocial@swiggy.in from your registered email ID and we'll get this checked right away for you.,2023-07-05 12:32:20,4.35.4
